Geneid	length	lib13	lib14	lib15	lib16	lib17	lib18	lib19	lib20
DDB_G0294382	108	0	0	0	0	0	0	0	0
DDB_G0294384	1027	0	0	0	0	0	0	0	0
DDB_G0294386	279	0	0	0	0	0	0	0	0
DDB_G0294388	3015	0	0	0	0	0	0	0	0
DDB_G0294390	102	10.8371	4.13394	13.1226	14.5672	13.2541	9.53319	45.6203	31.5487
DDB_G0294392	192	5.47174	2.67448	1.71561	3.11044	2.1168	2.32417	7.62144	7.9257
DDB_G0294394	156	3.54716	0.685604	4.70493	6.23835	4.5192	15.1074	20.6004	17.8748
DDB_G0294396	132	0.659995	0.672248	3.53123	2.98006	1.69152	2.78289	6.17241	3.36027
DDB_G0294400	232	0.56116	0.731111	3.79598	0.878594	1.20094	0	0.38676	1.48285
DDB_G0294380	513	6.13366	3.94815	50.3933	55.721	53.1665	47.9099	32.2573	30.9419
DDB_G0294376	921	6.07079	4.7246	181.757	262.462	469.216	515.835	217.568	222.444
DDB_G0294378	153	0	0	2.37483	2.83347	0	0	0.808651	0
DDB_G0294370	1176	0.0155512	0.0338458	0	0.0782257	0	0.0184019	0.0865947	0.102355
DDB_G0294372	819	0.0496359	0	0.132402	0.126277	0	0.119609	0.0280192	0.0828931
DDB_G0294374	429	0	0	0	0	0.195409	0	0.0870621	0.0901262
DDB_G0294366	336	4.71679	3.27431	6.46697	7.64927	4.26768	4.59879	2.1325	2.28016
DDB_G0294368	403	1.12071	0.90642	1.57425	1.18475	2.33381	1.46936	0.288405	0.477167
DDB_G0294362	711	0.185366	0.0928959	0.125875	0	0	0	0	0
DDB_G0294364	741	21.0061	10.6527	5.92399	4.90966	1.52337	2.18487	2.39009	3.89346
DDB_G0294352	971	0	0	0	0	0	0	0	0
DDB_G0294354	429	2.04827	1.27125	4.66647	9.32528	5.13668	4.85832	6.40295	5.67443
DDB_G0294356	48	0	0	0	0	0	0	0	0
DDB_G0294358	1209	42.6999	35.6911	32.1564	21.0492	6.44138	13.4775	11.9777	5.78557
DDB_G0294360	320	1.54361	1.14624	1.00092	1.16595	0.200156	0.379261	0.173402	0.510309
DDB_G0294346	1623	4.65456	6.61416	20.5994	20.4476	13.0058	16.5092	21.1227	30.6672
DDB_G0294348	489	0	0	0	0	0	0.0701916	0	0
DDB_G0294350	111	0	0	0	0	0	0	0	0
DDB_G0294342	198	0.432208	0	0	0	0	0	0	0
DDB_G0294344	1396	0.160926	0.343562	0.756878	0.74632	0.568145	0.659048	1.08944	1.40934
DDB_G0294334	112	2.41555	1.55274	0.9579	2.3142	0.491739	0.449773	1.11834	0.530012
DDB_G0294336	1266	0	0	0.0252366	0.0178446	0	0	0	0.031117
DDB_G0294338	2082	0.0958183	0.0259447	0.0424943	0.079591	0.0284405	0	0.158311	0.129827
DDB_G0294340	436	0	0	0	0	0	0	0	0
DDB_G0294324	720	0.158661	0.252554	0.536039	0.824686	0.968545	0.793832	0.867086	1.09171
DDB_G0294326	501	1.36051	1.42945	1.22948	1.31427	1.12453	0.981215	0.87736	1.20263
DDB_G0294328	402	0	0	0	0.108274	0.223633	0.105548	0.163718	0.0959594
DDB_G0294330	72	0	0	0	0	0	0	0	0.852231
DDB_G0294332	632	0.0564884	0.0571178	0.238184	0.0755694	0.193895	0.361277	0.564639	0.231239
DDB_G0294316	136	229.527	49.2421	352.315	122.214	0	0	91.5491	38.7972
DDB_G0294318	213	0	0	0	0	0	0	0.472941	0
DDB_G0294320	1674	0.73442	0.901826	1.20215	1.09037	0.414486	0.598081	0.287923	0.414359
DDB_G0294322	402	7.37391	6.2215	10.3016	14.6431	2.19628	7.10334	2.77396	2.41492
DDB_G0294308	459	0	0	0	0	0	0	0	0
DDB_G0294310	738	0	0.0315982	0.0513699	0	0.072109	0.069965	0.0326842	0.0322433
DDB_G0294312	192	0	0	0	0	0	0	0	0.52838
DDB_G0294314	765	0.0272765	0.0299016	0	0.0348028	0.0340126	0.033024	0.0927228	0.0609781
DDB_G0294300	262	0	0.516894	0	0.375932	0	1.03964	0	0.588471
DDB_G0294302	993	0	0	0.0344798	0.122516	0	0.0690262	0.0865268	0.0213117
DDB_G0294304	121	30.5278	14.331	117.614	60.8334	37.46	52.6425	85.195	73.3501
DDB_G0294306	88	2.68873	0.943208	9.13946	14.821	1.86758	5.52125	5.32483	7.03151
DDB_G0294298	276	0	0	0	0	0	0	0	0
DDB_G0294290	2934	0.988632	0.602029	4.57963	4.98805	1.79508	2.15769	1.57426	1.28002
DDB_G0294292	2025	8.39367	5.98148	15.6566	15.7265	13.7588	15.0338	11.9215	11.4108
DDB_G0294294	327	2.39016	1.78319	0.455637	0.890804	0	0.348471	0.632099	0.465915
DDB_G0294296	1683	0	0.182392	0.364527	0.162253	0.318466	0.185477	0	0.0131703
DDB_G0294286	1022	0	0	0	0.0470348	0	0.022336	0	0
DDB_G0294288	374	0	0	0.26167	0.450948	0.467786	0.748026	0.514489	0.257688
DDB_G0294282	371	0	0	0.0927866	0	0.0681926	0.0692729	0	0.0691238
DDB_G0294284	181	0	0	0	0	0	0	0	0
DDB_G0294266	600	0.347782	0.251481	0.102437	0	0	0	0	0.145814
DDB_G0294268	717	3.6896	2.79131	12.0976	10.6781	12.3443	10.9809	2.14078	2.95469
DDB_G0294270	291	0.164962	0.200217	0.605113	0.24165	0	0.613146	0	0
DDB_G0294272	291	0	0	0	0	0.243651	0.235332	0.855809	0.628591
DDB_G0294274	234	0	0	0	0	0	0	0	0.363975
DDB_G0294276	207	1.82433	1.40576	0.724276	2.2434	1.45109	1.0502	0.500125	1.40044
DDB_G0294278	399	0	0.092674	0.146188	0	0.227524	0.107373	0.393322	0.0975746
DDB_G0294280	1458	0.0244835	0	0.0484668	0.127298	0.0627743	0.0766627	0.100312	0.0716267
DDB_G0294250	168	0	0	0	0	0	0	0	0
DDB_G0294252	180	0	0	0	0	0	0	0	0
DDB_G0294254	696	0.460712	0.290577	0.687253	0.448309	0.343741	0.337306	0.186007	0.0859854
DDB_G0294256	546	0.280583	0.207753	0.66838	0.485953	0.0610783	0	0	0.0536171
DDB_G0294258	783	0.0264046	0.0289299	0	0.0673074	0	0.0319134	0	0.0589457
DDB_G0294260	102	0	0	0	0	0	0	0	0
DDB_G0294262	207	0	0	0	0	0	0	0	0
DDB_G0294264	1851	0	0	0	0	0.0245697	0	0	0.0383961
DDB_G0294246	600	0.470242	0.259996	1.46562	2.59511	0.755164	0.921642	1.22915	1.60374
DDB_G0294248	537	1.36824	0.976626	7.08245	7.28122	2.54196	4.4707	4.58708	4.86664
DDB_G0294236	4162	0.632047	0.390447	0.891919	0.779329	0.299943	0.443883	0.160692	0.157705
DDB_G0294238	690	0.178017	0.0799236	0.265657	0	0.499222	0.487057	0.0785901	0
DDB_G0294240	252	0	0	39.4548	56.9528	146.132	186.84	20.3023	12.1668
DDB_G0294242	663	0.134207	0.147723	1.99863	3.15979	1.24926	1.62701	1.17916	1.16731
DDB_G0294244	201	0	0.877637	0	0	0	0	0	0.491967
DDB_G0294228	675	0.130758	0.0719122	0.232847	0.210022	0.0826622	0.119966	0	0
DDB_G0294230	240	0	0.346445	0.511311	0.424456	0	0.401778	0	0
DDB_G0294232	306	0.460009	0.56297	1.7073	3.7105	1.35839	1.94993	2.16533	2.09561
DDB_G0294234	275	5.11131	12.1203	45.1616	55.187	11.937	23.8721	38.2682	43.5326
DDB_G0294218	339	1.47277	0.406918	2.15536	5.99884	2.19075	3.23413	3.07637	4.47302
DDB_G0294220	2292	0.0358781	0.0466071	0.318193	0.285818	0.17332	0.259031	0.173678	0.170899
DDB_G0294222	342	0.246771	0	0.472199	0.178246	0.35056	0	0	0.157907
DDB_G0294224	921	0.485548	0.337363	0	0.753714	0.230992	0.187976	0.339314	0.05974
DDB_G0294226	953	0	0	0	0	0	0	0	0
DDB_G0294210	451	0.0828334	0.090924	0.486044	0.479146	0.221406	0.778261	0.497764	1.6024
DDB_G0294212	174	0	0	0	0	0.601882	0	0	0
DDB_G0294214	300	0	0	0	0	0	0	0	0
DDB_G0294216	399	4.22302	8.40391	19.9572	30.0765	16.2584	17.7931	24.7836	35.1101
DDB_G0294206	371	0	0	0.0927866	0	0.0681926	0.0692729	0	0.0691238
DDB_G0294208	416	0	0	0	0	0	0	0	0
DDB_G0294190	552	0	0	0	0.0656525	0	0	0	0
DDB_G0294192	738	0.0864065	0	0.153736	0	0.0360411	0.105399	0	0.0643036
DDB_G0294194	939	0	0	0	0.0261664	0	0	0	0
DDB_G0294196	1320	0.0270336	0.0293781	0.0480679	0.20409	0.179792	0.127825	0.0300481	0.0740932
DDB_G0294198	465	0	0	0	0	0	0	0.0716153	0
DDB_G0294200	1278	0.0140521	0.0152772	0	0.0352775	0.0169386	0.01658	0.0312303	0.0153781
DDB_G0294202	228	0	0	0	0	0	0	0	0
DDB_G0294204	368	0	0.275637	0.675116	3.61536	1.00766	0.639169	1.24643	1.1411
DDB_G0294182	21	0	0	0	0	0	0	0	0
DDB_G0294184	66	0	0	4.73682	0.642043	1.7557	3.63668	2.76558	2.80897
DDB_G0294186	135	0.991379	0.692987	2.37887	3.35284	2.08322	4.28356	1.08639	2.00907
DDB_G0294188	1983	0.56865	0.269523	1.13001	1.83844	0.633423	0.593157	0.529759	0.387692
DDB_G0294176	407	0.103401	0	0	0.286909	0.139926	0	0	0.13187
DDB_G0294178	765	0	0	0	0	0	0	0	0
DDB_G0294180	1673	2.47859	3.31881	12.8953	14.8538	9.75567	12.6838	15.0284	21.7251
DDB_G0294172	171	0.521697	0.637784	2.96191	0	0	0	0.701332	1.95988
DDB_G0294174	96	0	0	0	0	0	0	0	0
DDB_G0294170	339	0	0.135771	0	0	0	0	0.14452	0
DDB_G0294144	1002	228.124	132.518	285.869	283.857	58.7759	91.3002	41.3304	44.7241
DDB_G0294146	336	0.328622	1.45211	0.852552	2.3331	0.680445	0.591299	0.7868	0.390574
DDB_G0294148	138	2941.57	1481.19	3389.46	2859.05	728.362	968.966	646.075	591.63
DDB_G0294150	39	3938.85	1974.19	7002.7	4980.16	1458.13	3316.9	989.776	787.646
