"gene_id"	"Vegetative_PA"	"Streaming_PA"	"Mound_PA"	"Fruiting_PA"	"length"	"Vegetative_SW"	"Streaming_SW"	"Mound_SW"	"Fruiting_SW"
"1"	"DDB_G0267178"	20.6691858546906	7.84478416015295	0	0	1398	0.2094295	0.831139	0.6489795	1.095808
"2"	"DDB_G0267184"	0	0	3.49771224828836	0	1215	0.206476	1.24471	0.8093505	0.9983045
"3"	"DDB_G0267188"	5.28379789068215	5.85084813236705	0	15.5245131099803	1971	0.108039	0.5759365	0.3919605	0.583762
"4"	"DDB_G0267192"	0	0	0	0	150	4.909375	6.62224	2.089815	2.593455
"5"	"DDB_G0267194"	25.9216238314892	0	0	7.06237841114248	270	0	0	0.345771	0.385679
"6"	"DDB_G0267196"	0	0	0	0	372	0	0	0.0670265	0.115357
"7"	"DDB_G0267198"	14.3233797545452	0	0	0	198	0	0.300039	0.256924	1.394795
"8"	"DDB_G0267200"	0	0	0	7.44820860501985	165	0.544785	0	0	0
"9"	"DDB_G0267202"	0	0	0	0	381	0	0	0	0
"10"	"DDB_G0267204"	0	0	0	0	408	0	0	0	0
"11"	"DDB_G0267206"	1.48712826946046	1.12884952260775	1.96982301102931	8.90398822797404	2025	0	0.0250303	0.02431425	0.0317383
"12"	"DDB_G0267212"	0	5.07672110676092	5.0023950096811	7.70679345390982	2064	0.45041	2.351235	1.45979	2.57818
"13"	"DDB_G0267214"	0	0	0	0	138	0	0	0	0
"14"	"DDB_G0267216"	1.92295834476068	2.12932770572157	0	0	498	0	0.0702355	0	0
"15"	"DDB_G0267218"	0	3.28002399094132	2.10539026842951	2.6896257702449	207	0.201881	0.362138	0.241848	0.2500625
"16"	"DDB_G0267220"	0	0	0	0	231	0	0	0	0
"17"	"DDB_G0267222"	0	1.56105238730378	0	0	480	0.057046	0.163877	0.320324	0.16681835
"18"	"DDB_G0267224"	0	0	0	0	297	0.078811	0	0.4504425	0.198998
"19"	"DDB_G0267226"	0	2.47879460464805	1.26825462075688	2.0326161839725	261	0.1343345	0.522558	0.3147145	0.710819
"20"	"DDB_G0267232"	8.4388484264686	0	0	3.83125144845628	138	0	0	0	0
"21"	"DDB_G0267234"	0	0	0	0	318	0	0	0	0.407811
"22"	"DDB_G0267252"	0	0	0	0	771	0.231007	0	0.443537	0.50432
"23"	"DDB_G0267262"	0	0	0	0	708	0.283016	2.0164	0.8935415	1.65028
"24"	"DDB_G0267272"	0	8.1180553636486	0	10.7701357195817	831	0	0.1683665	0.1499761	0.3470275
"25"	"DDB_G0267274"	0	0	0	0	1212	0.0233233	0	0.02657225	0
"26"	"DDB_G0267276"	0	0	0	0	276	0.3745135	1.492265	0.5493705	0.246137
"27"	"DDB_G0267278"	0	0	0	4.29471611522754	543	0	0	0	0
"28"	"DDB_G0267282"	17.5366896455822	0	4.15353543500607	14.8834509492384	852	0.07744205	0.5013285	0.265103	0.3719325
"29"	"DDB_G0267284"	0	0	4.29759646045155	0	186	0	0	0.2849325	0.03954045
"30"	"DDB_G0267286"	0	0	0	0	273	0	0	0	0
"31"	"DDB_G0267290"	0	0	0	0	162	0	0	0	0
"32"	"DDB_G0267296"	0	0	0	3.18889884720967	537	0	0.04181635	0	0
"33"	"DDB_G0267298"	0	0	0	0	417	0	0	0	0
